file,line,classification,text
apps\public_nextjs\app\share\[code]\page.tsx,8,UNVERIFIED,  available=response.ok;
apps\public_nextjs\app\share\[code]\page.tsx,10,UNVERIFIED," return <section className=""page-hero""><div className=""container narrow""><h1>{available?'Protected share':'Share unavailable'}</h1><p>{available?'Sign in as the intended recipient and enter your share code in the portal inbox. File details require authorization.':'The share could not be verified. It may be invalid, expired, exhausted, or the backend may be unavailable.'}</p><a className=""button"" href={`${portalUrl}/inbox`}>Open portal inbox</a></div></section>;"
apps\public_nextjs\app\status\page.tsx,14,UNVERIFIED," return <section className=""page-hero""><div className=""container narrow""><SectionHeading eyebrow=""Service readiness"" title={error?'Status unavailable':`Platform: ${state.overall}`} body=""Read-only backend prerequisite checks. Unknown means a dependency has not been verified.""/>{error&&<p role=""alert"">Could not retrieve current status. Service states are unknown. Reload to retry.</p>}<div className=""status-list"">{Object.entries(serviceLabels).map(([key,label])=><div key={key}><b>{label}</b><span className=""status-pill"">{state.services[key]}</span></div>)}</div><p>Database connectivity does not verify a login. Compression prerequisites do not establish successful processing. Storage readiness does not guarantee persistence. Notification configuration does not prove delivery.</p><p>Historical monitoring and uptime percentages are not available. No email is sent by these checks.</p></div></section>;"
apps\public_nextjs\app\terms\page.tsx,1,UNVERIFIED,"import {SectionHeading}from'@/components/section-heading';export const metadata={title:'Terms'};export default function Page(){return <section className=""page-hero""><div className=""container narrow""><SectionHeading eyebrow=""Legal draft"" title=""Terms"" body=""The production terms must define acceptable use, security responsibilities, service availability, intellectual property and limitations.""/><div className=""notice-box""><b>Not legal advice</b><p>This placeholder requires review by qualified legal and privacy professionals before deployment.</p></div></div></section>}"
apps\web_angular\src\app\pages\inbox.page.ts,8,UNVERIFIED,"<article class=""panel form-panel""><label>Share code<input [(ngModel)]=""code"" [disabled]=""busy()"" (ngModelChange)=""available.set(false)""></label><button class=""primary"" [disabled]=""!code||busy()"" (click)=""redeem()"">Redeem</button>@if(available()){<button [disabled]=""busy()"" (click)=""downloadShare()"">Download shared artifact</button>}</article>"
apps\web_angular\src\app\pages\inbox.page.ts,11,UNVERIFIED, code='';file:File|null=null;busy=signal(false);message=signal('');available=signal(false);
apps\web_angular\src\app\pages\inbox.page.ts,15,UNVERIFIED," downloadShare(){if(this.busy())return;this.busy.set(true);this.api.downloadShare(this.code).subscribe({next:b=>{this.busy.set(false);saveBlob(b,'shared.xaic');this.available.set(false);this.message.set('Shared artifact downloaded.')},error:()=>this.fail('Shared artifact unavailable or download limit reached.')})}"
apps\web_angular\src\app\pages\inbox.page.ts,16,UNVERIFIED," redeem(){if(this.busy())return;this.busy.set(true);this.available.set(false);this.api.redeem(this.code).subscribe({next:()=>{this.busy.set(false);this.available.set(true);this.message.set('Share available. Download the artifact.')},error:()=>this.fail('Share unavailable. Check the code and signed-in recipient account.')})}"
apps\web_angular\src\app\pages\login.page.ts,3,UNVERIFIED,"export class LoginPage{email='';password='';totp='';busy=signal(false);error=signal('');constructor(private auth:AuthService,private router:Router){}async submit(){if(this.busy())return;this.busy.set(true);this.error.set('');try{await this.auth.login(this.email,this.password,this.totp);await this.router.navigateByUrl('/dashboard')}catch(e){this.error.set('Login failed. Check your email, password and current TOTP if MFA is enabled, or retry when the backend is available.')}finally{this.busy.set(false)}}}"
apps\admin_dotnet\Components\Pages\Incidents.razor,4,UNVERIFIED,<p>Live incident reporting is not available from this backend. No incident records are displayed.</p>
apps\admin_dotnet\Components\Pages\Quarantine.razor,4,UNVERIFIED,<p>Live quarantine reporting is not available from this backend. An empty list does not establish that no files are quarantined.</p>
apps\admin_dotnet\Components\Pages\SystemHealth.razor,8,UNVERIFIED,"<p>Historical uptime, service versions and individual service latency are not measured.</p>"
apps\admin_dotnet\Components\Pages\Users.razor,6,UNVERIFIED,"<div class=""page-heading""><div><h1>Users and access</h1><p>Review roles, MFA state and account status.</p></div><input class=""search"" @bind=""_search"" placeholder=""Search users"" /></div>"
apps\admin_dotnet\Services\DemoAdminData.cs,21,DEMO,"        new(3, ""user@example.com"", ""Demo User"", ""USER"", ""Active"", true, Now.AddDays(-12), Now.AddDays(-1)),"
apps\admin_dotnet\Services\DemoAdminData.cs,22,DEMO,"        new(4, ""suspended@example.com"", ""Suspended User"", ""USER"", ""Suspended"", false, Now.AddMonths(-1), Now.AddDays(-8)),"
apps\admin_dotnet\Services\DemoAdminData.cs,27,DEMO,"        new(""JOB-24081"", ""vehicle_trace.csv"", ""user@example.com"", ""Neural"", ""Completed"", 6_400_000, 2_910_000, true, Now.AddMinutes(-8)),"
apps\admin_dotnet\Services\DemoAdminData.cs,28,DEMO,"        new(""JOB-24080"", ""archive.zip"", ""user@example.com"", ""Raw fallback"", ""Completed"", 2_400_000, 2_400_512, true, Now.AddMinutes(-20)),"
apps\admin_dotnet\Services\DemoAdminData.cs,30,DEMO,"        new(""JOB-24078"", ""telemetry.bin"", ""user@example.com"", ""Neural"", ""Processing"", 80_000_000, 0, false, Now.AddMinutes(-3)),"
apps\admin_dotnet\Services\DemoAdminData.cs,42,DEMO,"        new(""Q-501"", ""firmware_sample.bin"", ""user@example.com"", ""Clean"", new[] { ""Suspicious_Firmware_Pattern"" }, new string('a', 64), Now.AddMinutes(-18)),"
apps\admin_dotnet\Services\DemoAdminData.cs,43,DEMO,"        new(""Q-500"", ""document.pdf.exe"", ""suspended@example.com"", ""Win.Test.EICAR_HDB-1"", Array.Empty<string>(), new string('b', 64), Now.AddDays(-1)),"
apps\admin_dotnet\Services\DemoAdminData.cs,49,DEMO,"        new(9007, ""user@example.com"", ""compression.completed"", ""JOB-24081"", ""success"", ""10.0.0.44"", Now.AddMinutes(-8)),"
apps\mobile_authenticator_flutter\lib\services\deployment_config.dart,10,UNVERIFIED,"        ['localhost','127.0.0.1','10.0.2.2','backend','::1'].contains(uri.host) || defined.contains('REPLACE_')) {"
apps\mobile_authenticator_flutter\lib\services\deployment_config.dart,11,UNVERIFIED,      throw StateError('Production build requires a deployed HTTPS XAI_API_URL.');
apps\mobile_authenticator_flutter\lib\widgets\mfa_setup.dart,110,UNVERIFIED,"          const Text('Sign in or create your XAI account to set up this authenticator. Existing codes remain available below.'),"
apps\mobile_authenticator_flutter\lib\widgets\mfa_setup.dart,128,UNVERIFIED,"            const Text('Enter email verification code. Codes expire after 10 minutes. Resend is available after 60 seconds.'),"
apps\desktop_flutter\lib\screens\receive_screen.dart,54,UNVERIFIED,"   FilledButton(onPressed:busy?null:()=>run(()async{await api.redeem(code.text.trim());if(mounted)result='Share available. Download the artifact below.';}),child:const Text('Redeem code')),"
apps\desktop_flutter\lib\services\deployment_config.dart,10,UNVERIFIED,"        ['localhost','127.0.0.1','10.0.2.2','backend','::1'].contains(uri.host) || defined.contains('REPLACE_')) {"
apps\desktop_flutter\lib\services\deployment_config.dart,11,UNVERIFIED,      throw StateError('Production build requires a deployed HTTPS XAI_API_URL.');
apps\desktop_flutter\lib\services\deployment_config.dart,14,UNVERIFIED,  return defined.isEmpty ? 'http://localhost:8000' : defined;
